seed,combined_score,mean_blast_radius,std_blast_radius,ci_95_lower,ci_95_upper,max_blast_radius,min_blast_radius,mean_depth,max_depth,blast_rank
typing-extensions,0.9921,1507.2420,29.7871,1505.3958,1509.0882,1589,1390,3.0870,4,1
idna,0.6043,880.9930,53.1095,877.7012,884.2848,951,678,3.1140,5,2
certifi,0.5971,820.8630,55.3414,817.4329,824.2931,896,607,3.1450,5,3
urllib3,0.5768,715.0280,61.8511,711.1944,718.8616,788,511,3.1820,5,4
charset-normalizer,0.5597,667.8110,62.9521,663.9092,671.7128,730,457,3.2710,6,5
requests,0.5525,520.6140,21.4541,519.2843,521.9437,576,433,3.2820,6,6
six,0.5414,446.1210,46.0533,443.2666,448.9754,502,304,3.2110,5,7
packaging,0.5414,420.8950,17.1590,419.8315,421.9585,476,376,3.4650,6,8
pycparser,0.4940,412.3150,35.2500,410.1302,414.4998,455,268,3.3610,6,9
exceptiongroup,0.4734,377.2030,34.7004,375.0522,379.3538,447,272,3.2340,8,10
cffi,0.4798,359.8590,33.8454,357.7612,361.9568,407,256,3.4100,7,11
annotated-types,0.4584,312.4190,37.2663,310.1092,314.7288,360,201,3.2380,5,12
typing-inspection,0.4575,311.2860,38.0638,308.9268,313.6452,356,213,3.2380,7,13
pydantic-core,0.4603,311.0850,38.4043,308.7047,313.4653,359,210,3.2350,6,14
python-dateutil,0.4929,309.6670,19.1758,308.4785,310.8555,356,245,3.3400,6,15
attrs,0.4639,300.6700,21.8425,299.3162,302.0238,344,225,3.2110,5,16
zipp,0.4542,280.2280,29.6902,278.3878,282.0682,322,188,3.2480,5,17
h11,0.4503,278.6870,30.0390,276.8252,280.5488,324,195,3.3410,6,18
pygments,0.4609,277.3240,24.1428,275.8276,278.8204,326,178,3.2070,5,19
cryptography,0.4640,269.5640,16.2621,268.5561,270.5719,313,208,3.5350,7,20
click,0.4705,264.0890,16.7328,263.0519,265.1261,305,194,3.2090,5,21
pyyaml,0.4785,259.5390,13.2615,258.7170,260.3610,305,209,3.3600,7,22
anyio,0.4536,255.5130,14.5251,254.6127,256.4133,294,208,3.1830,5,23
numpy,0.5133,254.0960,19.7574,252.8714,255.3206,301,181,2.8130,4,24
pydantic,0.4667,247.7720,13.2796,246.9489,248.5951,294,208,3.2300,6,25
markupsafe,0.4489,244.6100,30.0881,242.7451,246.4749,288,169,3.2390,7,26
protobuf,0.4402,232.4640,13.4296,231.6316,233.2964,265,162,3.1270,5,27
importlib-metadata,0.4369,226.5500,18.4329,225.4075,227.6925,269,158,3.2070,6,28
mdurl,0.4191,220.1310,25.0426,218.5788,221.6832,253,119,3.2420,5,29
httpx,0.4332,197.9630,12.6998,197.1759,198.7501,233,147,3.5780,7,30
httpcore,0.4330,197.8520,12.7741,197.0603,198.6437,232,148,3.5810,7,31
markdown-it-py,0.4147,190.8020,25.2365,189.2378,192.3662,235,103,3.2440,6,32
jinja2,0.4306,169.8990,11.2202,169.2036,170.5944,206,133,3.4920,8,33
rpds-py,0.3870,163.3580,18.5931,162.2056,164.5104,192,81,3.3400,6,34
tomli,0.4272,160.4840,12.5817,159.7042,161.2638,190,119,3.3680,6,35
rich,0.4104,156.6720,14.7229,155.7595,157.5845,197,110,3.2650,7,36
referencing,0.3873,148.9920,19.6981,147.7711,150.2129,178,76,3.4470,7,37
googleapis-common-protos,0.3840,138.0060,12.4713,137.2330,138.7790,164,98,3.2920,6,38
multidict,0.3927,134.3890,25.8254,132.7883,135.9897,171,65,2.9480,5,39
propcache,0.3901,131.5260,26.2571,129.8986,133.1534,171,54,2.9740,5,40
grpcio,0.3895,129.3700,11.8446,128.6359,130.1041,160,83,3.3790,9,41
jsonschema-specifications,0.3829,127.8010,18.3694,126.6625,128.9395,159,80,3.5030,7,42
annotated-doc,0.3808,125.7080,15.2961,124.7599,126.6561,155,82,3.2720,6,43
pyasn1,0.3795,123.2300,16.8113,122.1880,124.2720,147,58,3.0000,5,44
frozenlist,0.3845,122.4120,25.9237,120.8052,124.0188,160,45,2.9820,5,45
opentelemetry-api,0.3810,122.2790,15.2391,121.3345,123.2235,153,55,3.2440,7,46
async-timeout,0.3885,113.9910,23.2819,112.5480,115.4340,157,62,2.7280,5,47
fsspec,0.3882,111.4640,10.6832,110.8018,112.1262,139,66,3.5150,7,48
opentelemetry-semantic-conventions,0.3702,110.4510,15.0507,109.5182,111.3838,135,64,3.2280,6,49
shellingham,0.3693,110.2470,15.2614,109.3011,111.1929,138,49,3.4940,7,50
tqdm,0.4029,108.4230,11.0677,107.7370,109.1090,140,67,2.6880,5,51
jsonschema,0.3995,106.9180,9.1857,106.3487,107.4873,132,67,3.6080,8,52
python-dotenv,0.3825,105.1130,10.4504,104.4653,105.7607,131,58,3.3830,6,53
yarl,0.3890,105.0700,22.6225,103.6678,106.4722,146,50,2.6800,4,54
greenlet,0.3733,104.1960,14.1900,103.3165,105.0755,132,46,3.3770,6,55
pyjwt,0.3829,102.1240,8.5868,101.5918,102.6562,127,51,3.6650,7,56
wrapt,0.3838,102.0950,9.1291,101.5292,102.6608,125,64,3.5230,8,57
pyasn1-modules,0.3687,101.4710,17.4363,100.3903,102.5517,131,43,2.8220,5,58
aiosignal,0.3826,98.5520,22.6193,97.1500,99.9540,133,44,2.6790,5,59
aiohappyeyeballs,0.3828,98.1190,22.9200,96.6984,99.5396,135,52,2.7190,5,60
tenacity,0.3698,93.8420,8.9410,93.2878,94.3962,117,56,3.6730,7,61
sqlparse,0.3734,93.3630,12.6620,92.5782,94.1478,121,50,3.7060,8,62
opentelemetry-sdk,0.3691,93.1260,8.5641,92.5952,93.6568,120,56,3.3230,8,63
typer,0.3917,91.8300,10.0529,91.2069,92.4531,114,49,3.5590,7,64
pluggy,0.3792,91.4390,11.1737,90.7464,92.1316,114,52,3.6140,8,65
sniffio,0.3668,87.3210,9.1907,86.7514,87.8906,113,48,3.6150,7,66
tzdata,0.3692,85.3000,7.8659,84.8125,85.7875,106,49,3.6480,7,67
platformdirs,0.3828,83.6370,8.0903,83.1356,84.1384,109,55,2.7830,5,68
sqlalchemy,0.3642,83.2550,8.6045,82.7217,83.7883,107,48,3.5290,8,69
starlette,0.3596,83.2470,9.1705,82.6786,83.8154,103,41,3.4760,8,70
asgiref,0.3604,79.6420,12.2667,78.8817,80.4023,108,37,3.6840,7,71
google-auth,0.6335,79.2720,12.3036,78.5094,80.0346,111,47,2.5840,4,72
psutil,0.3642,75.9650,7.7168,75.4867,76.4433,97,38,3.6730,8,73
aiohttp,0.5136,74.1080,7.5239,73.6417,74.5743,97,51,2.2190,4,74
uvicorn,0.3522,69.1660,7.0644,68.7281,69.6039,86,34,3.6150,9,75
isodate,0.3673,68.4800,8.3324,67.9636,68.9964,92,39,2.3860,5,76
pathspec,0.3563,68.0190,7.7782,67.5369,68.5011,86,32,3.6550,7,77
cachetools,0.3424,67.8230,37.7948,65.4805,70.1655,130,11,2.9100,5,78
more-itertools,0.3420,66.8530,8.3082,66.3381,67.3679,87,29,3.7660,7,79
azure-core,0.3606,66.7060,11.1115,66.0173,67.3947,97,38,2.1770,4,80
websockets,0.3501,65.9090,6.2924,65.5190,66.2990,84,30,3.6970,7,81
pydantic-settings,0.3431,62.8440,7.4027,62.3852,63.3028,80,31,3.6780,7,82
filelock,0.3590,60.7840,9.4717,60.1969,61.3711,86,34,2.5750,4,83
pandas,0.3812,59.1440,6.5371,58.7388,59.5492,82,41,2.0870,4,84
pytz,0.3700,55.7820,6.5332,55.3771,56.1869,77,34,2.1050,4,85
pillow,0.3671,54.9900,7.7220,54.5114,55.4686,78,31,2.1730,4,86
regex,0.3568,52.9590,7.8267,52.4739,53.4441,77,31,2.4180,5,87
scipy,0.3633,49.1210,7.2595,48.6710,49.5710,71,25,2.1910,5,88
setuptools,0.3746,48.7990,5.7895,48.4402,49.1578,71,30,2.1270,4,89
pyparsing,0.3517,46.2090,7.6961,45.7320,46.6860,69,22,2.2950,4,90
google-api-core,0.3411,45.7020,6.0393,45.3277,46.0763,66,26,2.2270,4,91
jmespath,0.3437,43.2190,8.7122,42.6790,43.7590,64,21,2.3030,4,92
wcwidth,0.3379,42.4890,8.1735,41.9824,42.9956,62,17,2.6140,5,93
distro,0.3393,41.7880,7.6010,41.3169,42.2591,61,18,2.3380,4,94
colorama,0.3416,39.2470,6.4636,38.8464,39.6476,57,19,2.4630,4,95
iniconfig,0.3392,39.0830,10.0416,38.4606,39.7054,64,14,2.0390,3,96
grpcio-status,0.3391,36.2280,4.8898,35.9249,36.5311,51,16,2.0620,4,97
pytest,0.3387,28.3440,4.5550,28.0617,28.6263,46,15,1.6820,3,98
boto3,0.3405,23.5220,4.0665,23.2700,23.7740,41,11,1.8320,4,99
marshmallow,0.3815,19.9830,5.1536,19.6636,20.3024,35,4,2.0650,4,100
